"Marca temporal","¿Desea participar de la investigación?","Edad","Género","Provincia de Residencia","Años de Experiencia en la Clínica ","Nivel de Educación MÁXIMO Adquirido","En caso de haber respondido Terciario u otro, ¿cuál fue su título?","¿Usted ha tenido formación universitaria pública o privada?","¿Cuál es tu título?","En caso de haber respondido ""no tengo título universitario"", ¿cuál fue su título máximo adquirido?","Número de Horas por Semana Atendiendo Pacientes (Aproximado)","Contexto de Trabajo","Orientación Teórica","Indique qué disciplina realiza:","Indique qué marco teórico del psicoanálisis sigue usted:","Indique qué marco teórico utiliza usted en la clínica:","Indique qué marco teórico utiliza en la práctica:","Indique qué tipo marco teórico utiliza en la práctica:","Evidencia Científica","Experiencia Personal con Consultantes (es decir la propia experiencia ejerciendo)","Entrenamiento Práctico en Clínica","El tratamiento de Preferencia de los Consultantes ","Intuición","Terapia Personal","Experiencia Personal con Consultantes","Investigación Empírica con Ensayos Controlados ","Supervisión","Investigación Empírica de Estudios de Caso ","Discusión con Pares","Libros","Observaciones de Casos Clínicos (por ejemplo en ateneos, prácticas, etc)","Medidas de resultado (resultados de escalas, cuestionarios, etc)","Guías o manuales clínicos","Estoy dispuesto a utilizar nuevos y diferentes tipos de terapia desarrollados por investigadores","Es mi deber profesional estar al día con los nuevos desarrollos en la investigación clínica (entendiendo a la investigación como un proceso que sigue el método científico)","Mi formación clínica hizo énfasis en la investigación (entendiendo a la investigación como un proceso que sigue el método científico)","Mis supervisores requieren/han requerido que use tratamientos basados ​​en la evidencia (es decir, con apoyo del método científico)","Los tratamientos basados ​​en el método científico son eficientes/costo-efectivos ","Puedo atraer nuevos consultantes aprendiendo un tratamiento basado en evidencia (como resultado del método científico)","Es importante incorporar los hallazgos científicos en mi práctica diaria","Intentaría una nueva terapia incluso si fuera muy diferente de lo que estoy acostumbrado a hacer (es decir muy diferente a lo que ejerzo)","Estoy interesado en aprender tratamientos basados ​​en evidencia (como resultado del método científico)","Los tratamientos que uso con mis consultantes tienen una base empírica (es decir cuentan con apoyo del método científico)","Mis consultantes son más complejos y diversos que los de los ensayos clínicos (provenientes de la investigación científica, ejemplo ensayos aleatorizados y controlados)","Mis consultantes prefieren otros tratamientos que los tratamientos basados ​​en evidencia (como resultado del método científico)","La terapia no puede ser manualizada","Los diagnósticos utilizados en los ensayos clínicos son demasiado simples (ejemplo ensayos aleatorizados y controlados)","Los tratamientos que prefiero no se han probado en un ensayo controlado aleatorio","Tengo un enfoque de tratamiento individual para cada consultante","No tengo tiempo para aprender tratamientos basados ​​en evidencia (como resultado del método científico)","La capacitación en tratamientos basados ​​en evidencia me costaría demasiado dinero (evidencia como resultado del método científico)","No sé cuáles tratamientos están basados ​​en evidencia (como resultado del método científico)","Mi entrenamiento clínico no proporcionó información suficiente sobre tratamientos basados ​​en evidencia (como resultado del método científico)","La alianza terapéutica es más importante que aprender cómo hacer una forma específica de psicoterapia","La mayoría de las terapias son igualmente efectivas","Mi empleador no tiene los fondos para pagarme una capacitación en tratamientos basados ​​en evidencia (como resultado del método científico)","La experiencia clínica es más importante como guía para el tratamiento que la evidencia científica","Considero fundamental el uso del consentimiento informado y lo uso siempre al tomar pacientes nuevos

0 = No sabe/No contesta, 1 = Muy en desacuerdo , 4 = Ni de acuerdo ni en desacuerdo , 7 = Muy de acuerdo","¿Le gustaría agregar otro comentario?","","","","","","","","","","","","",""
"2023/02/28 7:44:07 p. m. GMT-3","Sí","39","Masculino","Provincia de Buenos Aires","15.8","Carrera de Especialización","","Pública","Lic. en Psicología","","40 ","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","5","5","3","3","0","0","4","0","2","5","5","6","0","0","6","4","5","5","3","5","2","5","2","7","6","6","0","4","4","0","2","4","6","1","3","4","3","0","4","6","","","","","","","","","","","","","",""
"2023/03/01 10:36:02 a. m. GMT-3","Sí","28","Masculino","Provincia de Buenos Aires","3","Carrera de Especialización","","Pública","Lic. en Psicología","","15","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Aceptación y Compromiso","","","7","7","7","4","0","1","5","7","7","4","5","6","1","4","6","6","7","5","7","7","7","7","2","7","7","4","2","2","1","1","4","1","4","1","1","2","1","0","2","7","","","","","","","","","","","","","",""
"2023/03/01 11:43:56 a. m. GMT-3","Sí","38","Género no Binario","Ciudad Autónoma de Buenos Aires (CABA)","4.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","24","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia Interpersonal","","","7","6","6","7","5","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1","3","5","1","6","1","7","1","7","4","1","7","2","7","","","","","","","","","","","","","",""
"2023/03/01 12:45:48 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","0.6 ","Licenciatura de Grado","","Pública","Lic. en Psicología","","14 ","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","0","4","0","0","0","5","0","4","6","5","7","0","6","7","4","7","6","0","7","7","6","0","7","6","6","3","0","4","2","7","2","6","2","7","4","1","0","3","6","","","","","","","","","","","","","",""
"2023/03/01 4:25:33 p. m. GMT-3","Sí","29","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4","Carrera de Especialización","","Pública","Lic. en Psicología","","7","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia basada en Mindfulness","","","7","6","4","3","3","3","7","6","7","4","6","5","2","4","4","6","7","3","7","7","4","7","4","7","7","6","2","2","5","1","4","6","6","1","4","3","1","0","1","7","","","","","","","","","","","","","",""
"2023/03/01 9:17:34 p. m. GMT-3","Sí","27","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","5","Carrera de Especialización","Licenciada en psicología posgrado en trastornos de ansiedad ","Privada","Lic. en Psicología","","10","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","7","6","6","2","7","5","4","6","6","6","5","5","6","7","5","7","6","6","6","6","7","2","5","6","6","2","2","4","2","1","4","6","2","2","2","2","1","2","6","","","","","","","","","","","","","",""
"2023/03/02 2:07:29 a. m. GMT-3","Sí","24","Masculino","Provincia de Buenos Aires","0.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","4","5","2","4","0","7","4","5","4","6","4","4","4","4","7","8","4","7","7","4","5","7","7","7","4","0","7","4","1","6","2","2","1","4","4","4","5","4","7","","","","","","","","","","","","","",""
"2023/03/02 3:08:39 p. m. GMT-3","Sí","46","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","20","Máster","Lic en psicología ","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Racional Emotiva","","","7","5","5","4","3","7","5","6","3","7","6","7","5","7","7","7","8","4","7","8","8","8","7","7","8","8","4","4","4","1","7","1","6","1","1","3","2","2","4","1","","","","","","","","","","","","","",""
"2023/03/03 8:15:42 a. m. GMT-3","Sí","25","Masculino","Córdoba","0.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","2","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","0","0","0","1","6","5","4","1","4","5","6","4","5","6","7","7","6","7","7","7","7","7","7","7","4","2","6","2","2","7","1","1","1","1","5","1","0","1","7","","","","","","","","","","","","","",""
"2023/03/03 8:54:13 a. m. GMT-3","Sí","39","Femenino","Misiones","15","Doctorado","","","Lic. en Psicología","","16","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","6","5","0","0","0","4","5","3","0","5","7","2","5","7","5","7","7","5","7","7","7","4","7","7","7","1","3","6","1","3","3","7","1","1","1","2","7","3","5","","","","","","","","","","","","","",""
"2023/03/03 8:13:54 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","0.8","Licenciatura de Grado","","Privada","Lic. en Psicología","","34","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","5","5","5","5","7","1","7","1","7","6","6","5","5","7","7","7","5","7","7","7","1","7","7","0","0","1","0","1","4","4","6","1","5","2","1","4","2","7","","","","","","","","","","","","","",""
"2023/03/04 9:44:20 a. m. GMT-3","Sí","25","Femenino","Provincia de Buenos Aires","0.1","Licenciatura de Grado","","Pública","Lic. en Psicología","","10","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","7","7","1","2","7","6","3","7","3","6","7","1","2","7","4","7","7","1","6","7","7","4","7","7","2","0","2","3","1","1","1","1","1","1","4","1","7","1","7","","","","","","","","","","","","","",""
"2023/03/04 11:52:03 a. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","3","Carrera de Especialización","Especialista en clinica de niños y adolescentes cognitiva conductual ","Pública","Lic. en Psicología","","25","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia Analítico Funcional;Terapia basada en Mindfulness","","","7","5","3","2","1","5","5","4","6","3","6","7","2","6","6","7","7","3","6","6","6","7","5","7","7","7","2","2","4","1","5","4","3","1","2","1","1","4","1","5","","","","","","","","","","","","","",""
"2023/03/07 8:59:25 a. m. GMT-3","Sí","31","Masculino","Provincia de Buenos Aires","6","Carrera de Especialización","","Pública","Lic. en Psicología","","40","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","6","5","4","2","6","6","4","5","5","7","6","4","5","7","4","7","4","4","6","4","6","2","6","7","7","4","4","6","5","5","2","5","2","4","5","1","7","4","7","","","","","","","","","","","","","",""
"2023/03/07 10:04:15 a. m. GMT-3","Sí","31","Femenino","Provincia de Buenos Aires","6.1","Licenciatura de Grado","","Pública","Lic. en Psicología","","25","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia basada en Mindfulness","","","6","5","5","1","1","1","4","5","5","5","7","6","3","6","6","4","7","5","2","7","6","5","3","7","7","2","1","1","5","1","3","1","1","1","5","3","1","0","2","7","Muchos practicantes de las nuevas corrientes en psicoterapia basada en evidencia consideran que son una mejoría y avance por sobre los modelos anteriores. La realidad es que no acumulan más ensayos controlados que, por ejemplo, la TCC estándar. Por lo que sí, utilizo marcos de tercera generación, pero como una forma diferente de expresar los procesos básicos conocidos hasta su desarrollo. Es decir, que una terapia tenga uno o dos estudios a favor de su eficacia no lo vuelve una terapia eficaz (o más que lo que ya se conoce).","","","","","","","","","","","","",""
"2023/03/07 7:02:20 p. m. GMT-3","Sí","35","Femenino","Córdoba","6","Grado y Posgrados","Licenciada en Psicología, Posgrados en género, cognitiva, forense","Privada","Lic. en Psicología","","35","Ámbito Público (hospital u otro);Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","7","7","7","1","1","7","7","7","7","4","7","7","7","4","7","7","7","7","7","7","7","7","7","7","4","4","0","1","1","4","1","1","1","1","4","7","7","4","7","Consentimiento informado cuando se trabaja con menores utilizo. En las que respondí 4 es porque considero ambas importantes y no comparables entre sí","","","","","","","","","","","","",""
"2023/03/07 10:14:18 p. m. GMT-3","Sí","35","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.4","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Psicodinámica;Psicoanálisis","4","6","6","5","1","7","7","1","4","4","4","4","4","1","4","4","1","1","1","4","1","4","1","1","4","7","7","7","7","7","7","4","4","1","4","7","7","0","7","7","Repuestas muy contrapuestas. Agregaría la opción  ""parcialmente de acuerdo"" por ejemplo. ","","","","","","","","","","","","",""
"2023/03/07 10:35:23 p. m. GMT-3","Sí","35","Masculino","Provincia de Buenos Aires","5.4","Carrera de Especialización","","Pública","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano","","","","4","5","7","3","1","5","4","1","7","4","7","7","6","5","4","7","7","3","1","5","4","6","7","6","3","0","2","0","0","0","7","4","4","1","8","1","1","4","5","7","","","","","","","","","","","","","",""
"2023/03/08 12:21:02 a. m. GMT-3","Sí","43","Femenino","Córdoba","5","Licenciatura de Grado","","Pública","Lic. en Psicología","","35","Ámbito Privado","Emdr/ cognitiva ","","","","","","7","7","7","2","6","1","5","7","4","7","7","7","7","3","7","7","7","6","1","7","7","7","6","7","7","3","2","2","4","1","6","1","6","1","7","6","2","3","5","7","","","","","","","","","","","","","",""
"2023/03/11 2:13:48 p. m. GMT-3","Sí","30","Femenino","Misiones","2.0","Licenciatura de Grado","","Privada","Lic. en Psicología","","30","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","5","5","2","2","4","5","2","5","4","5","5","5","2","5","2","7","2","5","7","4","7","4","7","7","7","4","4","5","1","4","1","5","2","7","2","1","7","2","7","","","","","","","","","","","","","",""
"2023/03/11 3:10:01 p. m. GMT-3","Sí","27","Masculino","Ciudad Autónoma de Buenos Aires (CABA);Provincia de Buenos Aires","0.5","Licenciatura de Grado","","Pública","Lic. en Psicología","","9","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","1","1","4","4","1","5","4","4","4","4","4","1","1","4","7","7","7","0","7","7","7","7","7","7","4","4","1","1","4","7","1","4","1","4","4","1","7","1","7","","","","","","","","","","","","","",""
"2023/03/11 3:35:38 p. m. GMT-3","Sí","30","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4","Máster","","Pública","Lic. en Psicología","","40","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia basada en Mindfulness","","","7","7","7","7","6","7","5","6","7","6","6","7","7","7","7","6","7","7","7","7","7","7","4","7","7","4","4","4","4","4","7","1","1","4","1","1","1","4","1","4","","","","","","","","","","","","","",""
"2023/03/11 3:52:34 p. m. GMT-3","Sí","26","Femenino","Provincia de Buenos Aires","0.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","9","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicoanálisis;Sistémica","7","5","5","1","4","5","2","5","6","4","6","3","5","2","6","5","8","2","0","6","3","7","4","7","4","6","2","4","4","2","6","2","4","1","8","3","4","8","5","2","","","","","","","","","","","","","",""
"2023/03/11 6:27:01 p. m. GMT-3","Sí","26","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","0.6","Licenciatura de Grado","Lic. En Psicología ","Pública","Lic. en Psicología","","18","Ámbito Privado","Psicoanálisis","","Freudiano","","","","4","6","6","3","7","0","6","3","6","3","5","6","6","3","5","5","7","0","0","6","7","7","5","7","7","4","0","4","4","1","5","1","1","1","7","4","4","7","4","6","","","","","","","","","","","","","",""
"2023/03/12 11:40:53 a. m. GMT-3","Sí","30","Femenino","Córdoba","2.7","Licenciatura de Grado","","Pública","Lic. en Psicología","","25","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia Analítico Funcional","","","7","1","1","1","5","4","7","1","5","0","5","5","1","1","6","7","7","1","7","6","4","7","2","7","7","5","5","0","5","0","2","3","6","0","6","2","1","0","2","5","","","","","","","","","","","","","",""
"2023/03/12 12:21:02 p. m. GMT-3","Sí","39","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","9","Licenciatura de Grado","","Pública","Lic. en Psicología","","48","Ámbito Público (hospital u otro);Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano","","","","1","3","1","3","3","7","7","1","7","1","7","7","7","1","1","1","1","8","1","0","4","7","1","1","8","4","4","7","0","7","4","0","4","4","4","4","1","0","4","1","","","","","","","","","","","","","",""
"2023/03/16 9:45:10 a. m. GMT-3","Sí","45","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Aceptación y Compromiso;Terapia basada en Mindfulness","","","7","3","7","7","0","7","4","4","1","1","5","5","5","6","5","7","7","7","7","7","7","7","7","7","6","2","4","1","0","1","1","1","2","1","1","1","1","1","1","7","","","","","","","","","","","","","",""
"2023/03/17 11:05:33 a. m. GMT-3","Sí","25","Femenino","Ciudad Autónoma de Buenos Aires (CABA);Entre Ríos","0.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","2","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia Dialéctico Conductual","","","7","7","6","5","1","5","7","7","6","7","7","7","6","7","7","5","7","7","7","7","7","7","7","7","7","7","3","1","5","1","7","1","6","1","1","1","1","1","1","7","No
","","","","","","","","","","","","",""
"2023/03/19 10:46:06 p. m. GMT-3","Sí","58","Femenino","Provincia de Buenos Aires","35","Licenciatura de Grado"," ","Pública","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","1","5","5","0","5","7","5","1","4","4","7","7","7","1","1","1","1","8","8","8","8","8","1","8","8","8","8","7","0","7","7","8","8","8","7","1","0","8","7","4","","","","","","","","","","","","","",""
"2023/03/22 6:12:45 a. m. GMT-3","Sí","59","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","36","Licenciatura de Grado","","Privada","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","0","7","7","1","5","7","7","1","5","4","6","6","6","1","1","1","8","8","8","8","8","8","1","8","8","8","8","7","7","7","7","8","8","8","8","7","1","8","1","","","","","","","","","","","","","","",""
"2023/03/22 1:46:39 p. m. GMT-3","Sí","59","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4","Licenciatura de Grado","","Pública","Lic. en Psicología","","25","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","0","7","7","1","1","7","7","0","7","1","7","7","7","1","1","4","4","4","0","4","4","1","1","1","4","4","4","4","0","0","4","1","1","1","0","7","1","1","1","7","No","","","","","","","","","","","","",""
"2023/03/30 3:55:29 p. m. GMT-3","Sí","47","Femenino","Provincia de Buenos Aires","20","Licenciatura de Grado","Licenciada en Psicología ","Pública","Lic. en Psicología","","27","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","1","7","0","1","0","7","7","1","5","4","5","6","5","1","1","4","2","1","1","4","0","1","1","1","1","0","0","0","0","7","0","1","4","0","0","0","7","1","7","4","","","","","","","","","","","","","",""
"2023/03/31 9:34:59 p. m. GMT-3","Sí","58","Femenino","Provincia de Buenos Aires","35","Carrera de Especialización","","Pública","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","4","7","7","0","0","7","7","7","4","5","6","7","4","0","6","4","0","0","0","0","0","7","4","7","4","0","0","0","0","7","7","0","0","0","7","1","4","0","7","4","","","","","","","","","","","","","",""
"2023/04/11 9:29:17 a. m. GMT-3","Sí","38","Femenino","Córdoba","9","Licenciatura de Grado","","Pública","Lic. en Psicología","","25","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","7","7","0","1","1","7","5","4","1","7","5","7","5","7","6","7","6","7","7","4","7","1","7","7","2","5","1","2","1","6","1","4","1","1","2","1","4","3","5","","","","","","","","","","","","","",""
"2023/04/11 4:50:50 p. m. GMT-3","Sí","26","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.8","Licenciatura de Grado","","Pública","Lic. en Psicología","","45","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","6","6","5","5","6","6","5","7","5","7","5","4","5","3","6","6","4","6","6","6","5","5","6","6","5","4","4","3","0","5","3","5","3","3","5","4","0","5","7","","","","","","","","","","","","","",""
"2023/04/11 8:24:51 p. m. GMT-3","Sí","28","Femenino","San Juan","5","Carrera de Especialización","","","Lic. en Psicología","","35 ","Ámbito Público (hospital u otro);Ámbito Privado","Sistémica","","","","","","3","6","7","7","2","3","5","1","6","1","7","5","5","1","2","5","6","2","2","6","0","5","1","5","6","5","0","4","0","0","3","3","1","3","3","5","3","6","4","7","","","","","","","","","","","","","",""
"2023/04/11 8:51:52 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","4","Licenciatura de Grado","","Pública","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","3","5","1","0","1","3","6","5","4","6","6","3","5","7","6","8","7","5","7","3","5","5","7","7","6","2","3","5","3","7","6","5","1","7","1","1","7","1","7","","","","","","","","","","","","","",""
"2023/04/12 8:52:14 a. m. GMT-3","Sí","36","Femenino","La Rioja","5.2","Licenciatura de Grado","","Privada","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Freudiano;Posfreudiano","","","","6","7","7","5","1","7","7","1","7","7","7","7","7","0","0","4","8","8","8","8","8","8","1","8","8","7","8","4","4","7","7","8","8","8","8","1","4","8","6","4","Las preguntas realizadas se reducen a una definición de metodo científico específico que no está aclarado al inicio del cuestionario, y que no contempla los avances del campo epistemológico actual, por lo cual enfoques como el psicoanálisis en que hay múltiples investigaciones y desarrollos teóricos resultantes de la práctica quedan excluidos. ","","","","","","","","","","","","",""
"2023/04/12 8:53:05 a. m. GMT-3","Sí","29","Femenino","La Rioja","1.6","Licenciatura de Grado","Licenciatura en psicología ","Pública","Lic. en Psicología","","40","Ámbito Público (hospital u otro)","Psicoanálisis","","Lacaniano;Freudiano","","","","1","7","7","1","1","7","7","1","7","7","7","7","7","1","4","1","7","7","8","1","1","5","1","1","7","7","1","7","0","7","7","1","8","7","4","4","4","8","7","7","","","","","","","","","","","","","",""
"2023/04/12 8:57:57 a. m. GMT-3","Sí","34","Femenino","La Rioja","7","Licenciatura de Grado","Lic. En psicología ","Privada","Lic. en Psicología","","20","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano","","","","4","5","5","5","7","7","5","4","7","7","3","7","7","3","5","3","8","3","1","4","1","2","4","1","4","4","4","4","4","1","4","4","8","1","4","7","4","4","7","7","","","","","","","","","","","","","",""
"2023/04/12 8:59:09 a. m. GMT-3","Sí","77","Femenino","La Rioja","55","Carrera de Especialización","","Pública","Lic. en Psicología","","20 ","Ámbito Privado","Psicoanálisis","","Lacaniano","","","","7","7","7","6","3","7","7","5","6","6","7","7","7","4","4","4","8","8","8","2","1","4","1","3","8","7","8","7","7","7","7","8","4","8","8","5","1","1","4","6","","","","","","","","","","","","","",""
"2023/04/12 8:59:52 a. m. GMT-3","Sí","58","Femenino","La Rioja","0.9","Licenciatura de Grado","Licenciado en Psicología ","Privada","Lic. en Psicología","","36","Ámbito Privado","Psicoanálisis","","Freudiano","","","","7","6","7","6","5","7","6","4","7","5","6","7","7","7","7","7","4","5","4","4","4","4","4","4","4","4","6","4","4","0","7","4","4","7","7","7","4","7","4","7","","","","","","","","","","","","","",""
"2023/04/12 9:00:05 a. m. GMT-3","Sí","41","Femenino","La Rioja","12","Máster","Psicoterapia psicodinamica y psicopatología ","Pública","Lic. en Psicología","","48","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Psicodinámica","7","0","7","0","4","0","7","3","4","3","7","7","0","0","7","7","7","5","7","4","0","4","7","4","4","4","4","4","4","3","7","1","1","4","4","4","4","0","4","4","","","","","","","","","","","","","",""
"2023/04/12 9:00:37 a. m. GMT-3","Sí","45","Femenino","La Rioja","19 ","Carrera de Especialización","","Pública","Lic. en Psicología","","50","Ámbito Público (hospital u otro);Ámbito Privado;Docencia y clinica","Psicoanálisis","","Lacaniano;Freudiano;Posfreudiano","","","","6","6","6","6","4","7","7","2","7","5","6","6","6","3","3","5","6","1","4","4","4","7","0","4","4","7","4","4","7","7","7","1","4","4","4","1","1","4","4","7","Me parece que hay cuestiones que deberían ser éticamente obligatorias para cualquier psicólogo/a independientemente de su orientación teórica. La terapia personal del profesional/ la supervisión de casos y el estudio teórico. Sino pareciera que los únicos habilitados por el saber científico son los de orientación cognitiva conductual y muchas veces esas terapias dejan de lado algo muy importante.
La posición del terapeuta, el encuadre la ideología y los prejuicios ni hablar de las cuestiones personales que el terapeuta no se cuestiona a si mismo. Y desde ese lugar interviene como si tuviera la receta y la verdad absoluta de la vida.
En ese sentido del respeto por la singularidad del otro el psicoanálisis es la orientación más certera, saludos. . ","","","","","","","","","","","","",""
"2023/04/12 9:06:34 a. m. GMT-3","Sí","25","Femenino","La Rioja","0.10","Licenciatura de Grado","","Privada","Lic. en Psicología","","26","Ámbito Privado;Obra Social o Prepaga","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicodinámica;Psicoanálisis","1","1","2","1","1","1","4","1","1","1","4","4","4","1","4","7","7","1","4","7","4","4","7","7","4","5","4","4","4","4","7","4","7","5","6","7","7","5","7","7","Considero que quienes debemos amoldarnos al paciente somos los profesionales, y no ellos a nosotros y a una linea teórica especifica (la teoria no es universal) sin embargo si considero que como profesional se debe tener una base teorica de la cual partir para trabajar. ","","","","","","","","","","","","",""
"2023/04/13 10:30:18 a. m. GMT-3","Sí","61","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","38.3","Profesorado","","Privada","Lic. en Psicología","Doctorado en Psicología","40","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Psicodinámica","","","","3","7","7","4","4","6","7","4","4","4","7","4","4","0","0","7","7","7","4","4","4","7","4","7","4","4","4","1","4","4","4","4","4","4","4","1","1","4","7","7","Influye  la formación de grado y posgrado. Me defino en un encuadre psicoanalítico dinámico. Pero no descarto el seguimiento de las evidencia. Gracias y los felicito a los jóvenes,colegas.","","","","","","","","","","","","",""
"2023/04/13 10:50:50 a. m. GMT-3","Sí","42","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","19.2","Licenciatura de Grado","","Privada","Lic. en Psicología","","15","Ámbito Privado","Psicoanálisis","","Psicología Analítica (junguiana)","","","","5","7","5","5","5","7","7","5","6","7","7","7","7","4","4","7","7","7","4","7","7","7","7","7","7","4","4","4","1","4","4","1","4","4","7","4","1","0","1","7","","","","","","","","","","","","","",""
